id,is_iceberg
5941774d,0.068249
4023181e,0.532265
b20200e4,0.000221
e7f018bb,0.996528
4371c8c3,0.026611
a8d9b1fd,0.703105
29e7727e,0.003813
92a51ffb,0.999418
c769ac97,0.000000
aee0547d,0.000000
565b28ac,0.000000
e04e9775,0.528551
8e8161d1,0.000785
4cf4d256,0.229745
139e5324,0.000015
f156976f,0.000659
68a117cc,0.001133
d9aa7a56,0.009222
9005b143,0.011283
5f6d3988,0.975723
9ad70954,0.000097
b9087b9e,0.391848
a39a1427,0.547380
82fbe8ed,0.036719
1fae4879,0.000002
6dd8f13d,0.000011
bbad5958,0.021198
54527583,0.109025
be8fa29c,0.005501
81a3328f,0.993667
1a3c0ab3,0.000051
4deeeb8b,0.556218
ac6d5632,0.418412
472dadb5,0.049238
96093f95,0.910804
f5b4e3df,0.940716
e01a3c92,0.000007
001680af,0.405777
8e639f33,0.446153
a2c16612,0.962157
a6d76474,0.000004
19c47684,0.563275
015827b6,0.193483
7df7f7ce,0.001904
0bbf1a3f,0.518767
636cfbb7,0.912202
7370030a,0.994995
43aa97ad,0.000001
ba2b5e63,0.992894
dfdd335b,0.447127
e79b13dc,0.003771
dc32b195,0.627085
6d868590,0.976239
75fa59aa,0.000047
ffe50836,0.571241
a7bfd784,0.977593
b3d569e3,0.000105
6c538c5b,0.025544
5c7c15f4,0.012392
0b745139,0.016275
fd14608e,0.610827
f0bc8305,0.119238
a10ccb28,0.997945
543304c7,0.581112
6c3a4078,0.000000
9b73cc75,0.052366
5c6c71b1,0.018209
09ee9186,0.644487
207c35cf,0.094281
153c813e,0.000019
5605d58b,0.615512
642ca396,0.000071
d32d72c0,0.467630
16646a17,0.992774
384074af,0.555376
69bf1e8c,0.146088
9e90a054,0.663044
89dbe7f7,0.996184
dbd27d22,0.487738
a2ea1561,0.397871
d63402af,0.407700
1ac8bb92,0.998214
8beffca5,0.026022
46741f3e,0.011964
e5ee6aa7,0.000001
5ecd892b,0.431961
69892166,0.015371
2f725a81,0.072744
810abfe4,0.000082
e6f973e6,0.241407
c60a5c46,0.012232
c42b9e08,0.883520
c3f00c23,0.099058
5307fdb8,0.981380
3e4f005e,0.000472
4a4cc2e0,0.917634
9bdd88d1,0.000000
0d832bed,0.003656
14a134fa,0.036507
78a41676,0.000113
0bd4658e,0.069711
4a311bb0,0.756528
f939c817,0.006196
956adc4d,0.994444
f8a119f5,0.494251
61faa1ad,0.167782
6725eb3e,0.002335
17b3a8fd,0.000169
49a88dfc,0.000058
2d6ec645,0.640104
0d4d77ba,0.569352
3ee672a2,0.999017
738b41fd,0.315751
f7fb320d,0.517439
b42fad18,0.004375
4ab8b00a,0.604171
f7870f2b,0.165119
4978666a,0.509550
f1b0d6c7,0.000001
5642407f,0.010295
36d4ff92,0.947943
4139aba2,0.608289
7585ce58,0.368995
33e25984,0.999205
ac46f3c9,0.031782
fc34a5b8,0.525731
85c36a8f,0.618106
b2d8a426,0.143864
13ec60d1,0.970448
9d440f42,0.306325
1c0a891e,0.493520
981c3bc3,0.944565
295604f4,0.448125
16ca16c3,0.000007
b4dda837,0.691414
88d088ef,0.001532
1b4fa160,0.345421
f371bd82,0.000233
b130a0b7,0.997253
